Graph        Vertices     Edges      Maximum Cut     Operations      Attempts     Time           
4            2            1          1               2               1            0.0            
4            4            3          3               6               3            0.0            
4            4            4          3               6               3            0.0            
8            6            3          3               14              7            0.0            
8            7            7          5               16              8            0.0            
8            8            14         7               16              8            0.0            
8            8            21         7               14              7            0.0            
16           15           15         6               36              18           0.001627206802368164
16           16           30         10              32              16           0.0020029544830322266
16           16           60         15              32              16           0.0010025501251220703
16           16           90         14              30              15           0.0010001659393310547
32           32           62         14              68              34           0.012517213821411133
32           32           124        24              68              34           0.011355876922607422
32           32           248        36              64              32           0.009637832641601562
32           32           372        21              62              31           0.007195234298706055
64           64           252        50              140             70           0.09924721717834473
64           64           504        54              132             66           0.09103107452392578
64           64           1008       93              132             66           0.0703592300415039
64           64           1512       49              126             63           0.0631563663482666
128          128          1016       123             276             138          0.7873101234436035
128          128          2032       128             258             129          0.734050989151001
128          128          4064       123             258             129          0.5763006210327148
128          128          6096       89              254             127          0.47409772872924805
256          256          4080       189             524             262          6.203245639801025
256          256          8160       262             514             257          5.9328718185424805
256          256          16320      375             518             259          4.78014612197876
256          256          24480      173             510             255          3.6739141941070557
