Graph        Vertices     Edges      Maximum Cut     Operations      Attempts     Time           
4            2            1          1               1               1            0.0            
4            4            3          3               1               1            0.0            
4            4            4          3               1               1            0.0            
8            6            3          1               1               1            0.0            
8            7            7          4               1               1            0.0            
8            8            14         4               1               1            0.0            
8            8            21         11              1               1            0.0            
16           15           15         8               1               1            0.0            
16           16           30         17              1               1            0.000997304916381836
16           16           60         35              1               1            0.0            
16           16           90         38              1               1            0.0            
32           32           62         33              1               1            0.0009984970092773438
32           32           124        67              1               1            0.0            
32           32           248        131             1               1            6.270408630371094e-05
32           32           372        163             1               1            0.0005629062652587891
64           64           252        142             1               1            0.0010607242584228516
64           64           504        250             1               1            0.0018210411071777344
64           64           1008       446             1               1            0.0011103153228759766
64           64           1512       508             1               1            0.0009953975677490234
128          128          1016       517             1               1            0.0049893856048583984
128          128          2032       1015            1               1            0.005135059356689453
128          128          4064       1824            1               1            0.004837512969970703
128          128          6096       2315            1               1            0.0041387081146240234
256          256          4080       2070            1               1            0.016951560974121094
256          256          8160       4199            1               1            0.01614856719970703
256          256          16320      7669            1               1            0.01613593101501465
256          256          24480      8206            1               1            0.0139617919921875
