Graph        Vertices     Edges      Maximum Cut     Operations      Attempts     Time           
4            2            1          1               4               4            0.0            
4            4            3          3               16              16           0.0            
4            4            4          3               16              16           0.0            
8            6            3          3               64              64           0.0            
8            7            7          6               128             128          0.0009980201721191406
8            8            14         11              256             256          0.0019981861114501953
8            8            21         15              256             256          0.002000093460083008
16           15           15         13              32768           32768        0.9987668991088867
16           16           30         23              65536           65536        2.2204041481018066
16           16           60         41              65536           65536        2.0948052406311035
16           16           90         56              65536           65536        1.6933255195617676
