Time Limit: 120s, Operations Limit: 5000000
Graph        Vertices     Edges      Maximum Cut     Operations      Attempts     Time
4            2            1          1               6               2            0.0            
4            4            3          3               1               0            0.0            
4            4            4          3               453             15           0.002005338668823242
8            6            3          3               67              15           0.0            
8            7            7          6               9088            127          0.029315471649169922
8            8            14         11              16115           255          0.05435299873352051
8            8            21         15              23976           255          0.07196903228759766
16           15           15         13              5003545         32235        110.60049295425415
16           16           30         23              3702560         51856        120.01063990592957
16           16           60         41              3843717         52723        120.01310586929321
16           16           90         56              3792657         52410        120.01053786277771
32           32           62         47              3043711         79863        120.025057554245
32           32           124        85              3041859         78911        120.03570914268494
32           32           248        150             3163488         83033        120.03082585334778
32           32           372        208             3097658         80683        120.02893114089966
64           64           252        157             4783838         70892        120.03665900230408
64           64           504        291             5000037         74231        118.05552124977112
64           64           1008       550             5000066         74073        119.42833089828491
64           64           1512       801             5000085         74122        117.3949339389801
128          128          1016       563             5000010         38640        94.93431043624878
128          128          2032       1090            5000178         38232        94.1701169013977
128          128          4064       2121            5000103         38741        84.20979762077332
128          128          6096       3143            5000064         38669        79.461740732193
256          256          4080       2173            4032748         15733        120.03599452972412
256          256          8160       4202            4174292         16457        120.02954649925232
256          256          16320      8331            5000407         19480        115.7484438419342
256          256          24480      12419           5000620         19638        100.95971894264221
