Graph        Vertices     Edges      Maximum Cut     Operations      Attempts     Time
4            2            1          1               3               3            0.0            
4            4            3          3               77              9            0.001001596450805664
4            4            4          3               149             16           0.0009987354278564453
8            6            3          3               5               3            0.0            
8            7            7          6               9580            128          0.049001216888427734
8            8            14         11              35607           256          0.15563464164733887
8            8            21         15              20994           256          0.07717180252075195
16           15           15         13              14397255        32768        312.3569984436035
16           16           30         23              34247232        65536        1279.4158482551575
16           16           60         41              31070413        65536        1134.5387222766876
16           16           90         56              32471698        65536        1182.8534150123596
