Graph        Vertices     Edges      Maximum Cut     Operations      Attempts     Time           
4            2            1          1               4               4            0.0            
4            4            3          3               58              16           0.00099945068359375
4            4            4          3               66              16           0.0            
8            6            3          3               422             64           0.0010006427764892578
8            7            7          6               1042            128          0.003000497817993164
8            8            14         11              2393            256          0.009001731872558594
8            8            21         15              2279            256          0.00899958610534668
16           15           15         13              584688          32768        15.478111267089844
16           16           30         23              1000025         52791        48.31529426574707
16           16           60         41              1000025         53241        47.41873908042908
16           16           90         56              1000017         53424        50.78469252586365
32           32           62         45              1000011         29834        17.78442907333374
32           32           124        87              1000009         29822        16.407343864440918
32           32           248        146             1000028         29979        15.366393566131592
32           32           372        207             1000027         30027        13.670854806900024
64           64           252        155             1000021         15470        10.829303503036499
64           64           504        286             1000078         15215        10.616169452667236
64           64           1008       544             1000001         15451        9.130117177963257
64           64           1512       798             1000110         15399        8.572656631469727
128          128          1016       554             1000154         7830         14.972790241241455
128          128          2032       1075            1000199         7650         13.76409649848938
128          128          4064       2122            1000089         7958         12.525772094726562
128          128          6096       3125            1000046         7712         10.604039192199707
256          256          4080       2117            1000525         3943         27.063284873962402
256          256          8160       4222            1000034         4038         28.62390685081482
256          256          16320      8304            1000600         3921         22.45793867111206
256          256          24480      12382           1000321         3853         18.578205585479736
