Time Limit: 120s, Operations Limit: 0
Graph        Vertices     Edges      Maximum Cut     Operations      Attempts     Time
4            2            1          1               3               2            0.0            
4            4            3          3               6               1            0.0            
4            4            4          3               210             15           0.0009999275207519531
8            6            3          3               92              12           0.0010025501251220703
8            7            7          6               7933            127          0.027967453002929688
8            8            14         11              34159           255          0.10529327392578125
8            8            21         15              18757           255          0.05333280563354492
16           15           15         13              6922099         32641        120.28124690055847
16           16           30         23              4392178         54985        120.01541829109192
16           16           60         41              4134603         54016        120.01549077033997
16           16           90         56              4242114         54434        120.01223373413086
32           32           62         45              3289358         86159        120.03040623664856
32           32           124        83              3284059         85532        120.03409051895142
32           32           248        149             3327267         86508        120.02986454963684
32           32           372        211             3323898         86307        120.02939319610596
64           64           252        155             5174670         75942        120.03623366355896
64           64           504        293             5231758         77085        120.03714299201965
64           64           1008       554             5442008         80467        120.03473281860352
64           64           1512       801             5617008         82855        120.04193043708801
128          128          1016       560             5946783         45681        120.0485610961914
128          128          2032       1097            6437740         49078        120.05051279067993
128          128          4064       2127            6967989         53600        120.05442953109741
128          128          6096       3140            7671183         58770        120.0522632598877
256          256          4080       2134            4328792         16990        120.02328372001648
256          256          8160       4227            4690056         18209        120.03031778335571
256          256          16320      8360            5514507         21417        120.03480100631714
256          256          24480      12424           6439187         24890        120.04076409339905
