Graph        Vertices     Edges      Maximum Cut     Operations      Attempts     Time           
4            2            1          1               4               4            0.0010027885437011719
4            4            3          3               16              16           0.001032114028930664
4            4            4          3               16              16           0.0030014514923095703
8            6            3          3               50              50           0.1889972686767578
8            7            7          6               50              50           0.00800180435180664
8            8            14         10              50              50           0.007966041564941406
8            8            21         14              50              50           0.00900125503540039
16           15           15         10              50              50           0.002000570297241211
16           16           30         19              50              50           0.0029969215393066406
16           16           60         34              50              50           0.0019996166229248047
16           16           90         51              50              50           0.0019998550415039062
32           32           62         33              50              50           0.005000114440917969
32           32           124        59              50              50           0.004999876022338867
32           32           248        129             50              50           0.005004405975341797
32           32           372        193             50              50           0.0029990673065185547
64           64           252        134             50              50           0.020032405853271484
64           64           504        268             50              50           0.015998363494873047
64           64           1008       517             50              50           0.012969017028808594
64           64           1512       776             50              50           0.014845609664916992
128          128          1016       523             50              50           0.06515312194824219
128          128          2032       1036            50              50           0.06896734237670898
128          128          4064       2039            50              50           0.052000999450683594
128          128          6096       3086            50              50           0.04803657531738281
256          256          4080       2042            50              50           0.27699732780456543
256          256          8160       4077            50              50           0.27624058723449707
256          256          16320      8172            50              50           0.25698065757751465
256          256          24480      12243           50              50           0.188035249710083
