Graph        Vertices     Edges      Maximum Cut     Operations      Attempts     Time           
4            2            1          1               2               1            0.0            
4            4            3          3               4               1            0.0            
4            4            4          3               4               1            0.0            
8            6            3          1               2               1            0.0            
8            7            7          4               7               1            0.0            
8            8            14         4               8               1            0.0            
8            8            21         11              8               1            0.0            
16           15           15         8               11              1            0.0            
16           16           30         17              16              1            0.0            
16           16           60         35              16              1            0.0            
16           16           90         38              16              1            0.0            
32           32           62         33              32              1            0.0            
32           32           124        67              32              1            0.0            
32           32           248        131             32              1            0.0            
32           32           372        163             32              1            0.0            
64           64           252        142             64              1            0.0            
64           64           504        250             64              1            0.01562643051147461
64           64           1008       446             64              1            0.0            
64           64           1512       508             64              1            0.0            
128          128          1016       517             128             1            0.0            
128          128          2032       1015            128             1            0.0            
128          128          4064       1824            128             1            0.0            
128          128          6096       2315            128             1            0.0            
256          256          4080       2070            256             1            0.01563239097595215
256          256          8160       4199            256             1            0.015575647354125977
256          256          16320      7669            256             1            0.0            
256          256          24480      8206            256             1            0.015636444091796875
