Graph        Vertices     Edges      Maximum Cut     Operations      Attempts     Time           
4            2            1          1               6               3            0.0            
4            4            3          3               22              11           0.0            
4            4            4          3               22              11           0.0            
8            6            3          3               84              42           0.0010085105895996094
8            7            7          6               128             64           0.0            
8            8            14         11              326             163          0.001966238021850586
8            8            21         15              326             163          0.0009942054748535156
16           15           15         13              32768           16384        0.5481917858123779
16           16           30         23              78406           39203        1.63474440574646
16           16           60         41              78406           39203        1.3176372051239014
16           16           90         56              78406           39203        1.5161075592041016
