Graph        Vertices     Edges      Maximum Cut     Operations      Attempts     Time           
4            2            1          1               1               1            0.0            
4            4            3          3               3               3            0.0            
4            4            4          3               3               3            0.0            
8            6            3          3               7               7            0.0            
8            7            7          5               8               8            0.0            
8            8            14         7               8               8            0.0015053749084472656
8            8            21         7               7               7            0.0            
16           15           15         6               18              18           0.0010330677032470703
16           16           30         10              16              16           0.0015082359313964844
16           16           60         15              16              16           0.0010111331939697266
16           16           90         14              15              15           0.0019922256469726562
32           32           62         14              34              34           0.005076885223388672
32           32           124        24              34              34           0.00701594352722168
32           32           248        36              32              32           0.014892816543579102
32           32           372        21              31              31           0.015618085861206055
64           64           252        50              70              70           0.027677536010742188
64           64           504        54              66              66           0.04385995864868164
64           64           1008       93              66              66           0.08448386192321777
64           64           1512       49              63              63           0.12098002433776855
128          128          1016       123             138             138          0.17541790008544922
128          128          2032       128             129             129          0.3850722312927246
128          128          4064       123             129             129          0.7203433513641357
128          128          6096       89              127             127          0.9263365268707275
